,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
30,2014 Cadillac SRX Premium,24998,41 ,9,No Accidents or Damage Reported,0,1,21.0,110.5,41.2,39.7,0,4442,Null,All Wheel Drive,Automatic,265,2400,190.3,75.2,65.7,16,23,6, Gas,3.6,Blue,Black,1104.2
31,2020 Jeep Renegade Altitude,23998,13 ,3,No Accidents or Damage Reported,0,0,12.7,101.2,41.2,41.1,18.5 cu ft,3056,Null,Front Wheel Drive,Automatic,175,3900,166.6,74.2,66.5,22,30,4, Gas,2.4,Black,Black,448.7
32,2019 Jeep Compass Sport,20998,40 ,4,No Accidents or Damage Reported,0,2,13.5,103.8,41.8,39.2,27.2 cu ft,3184,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,3900,173.0,73.8,64.6,23,32,4, Gas,2.4,Blue,Black,448.7
33,2015 Subaru Forester 2.0XT Touring,17998,114 ,8,No Accidents or Damage Reported,0,0,15.9,103.9,43.0,40.0,31.5 cu ft,3651,"1,500/1,500 lbs",All Wheel Drive,Automatic,258,2000,180.9,70.7,68.2,23,28,4, Turbo Gas,2.0,Gray,Black,1290.0
34,2016 Nissan Murano SL,21998,69 ,7,No Accidents or Damage Reported,0,0,19.0,111.2,40.5,38.1,39.6 cu ft,3977,"1,499/1,499 lbs",All Wheel Drive,Automatic,240,4400,192.4,75.4,66.6,21,28,6, Gas,3.5,Silver,Brown,545.5
35,2019 Volvo XC90 T6 Momentum,34998,46 ,4,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6 cu ft,4394,"5,000/5,000 lbs",All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,19,26,4, Turbo Supercharged,2.0,Black,Champagne,1340.9
36,2015 Hyundai Santa Fe Sport 2.0T,18998,80 ,8,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.6,35.4 cu ft,3706,"3,500/3,500 lbs",All Wheel Drive,Automatic,269,1750,184.6,74.0,66.1,18,24,4, Turbo Gas,2.0,Red,Tan,1537.1
37,2019 Kia Sorento LX,20998,58 ,4,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,11.3 cu ft,3810,"2,000/2,000 lbs",Front Wheel Drive,Automatic,178,4000,189.0,74.4,66.3,22,29,4, Gas,2.4,Blue,Black,445.0
38,2017 Honda Pilot EX-L,21998,117 ,6,No Accidents or Damage Reported,0,1,19.5,111.0,40.9,39.5,16.5 cu ft,4288,Null,All Wheel Drive,Automatic,262,4700,194.5,78.6,69.8,18,26,6, Gas,3.5,Silver,Gray,557.4
39,2020 Hyundai Tucson SE,24998,3 ,3,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31 cu ft,3455,"1,000/1,000 lbs",All Wheel Drive,Automatic,150,4700,176.4,72.8,64.8,22,25,4, Gas,2.0,Gray,Gray,319.1
40,2015 Chevrolet Equinox LTZ,17998,74 ,8,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,40.9,0,3829,Null,Front Wheel Drive,Automatic,172,4900,187.8,72.5,66.3,22,32,4, Gas,2.4,Black,Black,351.0
41,2013 Ford Edge SE,15998,80 ,10,No Accidents or Damage Reported,0,1,18.3,111.2,40.7,40.0,0,4056,Null,Front Wheel Drive,Automatic,253,4000,184.2,76.0,67.0,19,27,6, Gas,3.5,Black,Black,632.5
42,2012 Chevrolet Captiva Sport LT,12998,118 ,11,No Accidents or Damage Reported,0,11,19.2,106.6,40.7,40.2,0,3831,"3,500/3,500 lbs",Front Wheel Drive,Automatic,222,5100,180.1,72.8,67.0,17,24,6, Gas,3.0,White,Black,435.3
43,2016 Acura MDX,24998,66 ,7,No Accidents or Damage Reported,0,10,19.5,111.0,41.5,38.1,15 cu ft,4262,"3,500/3,500 lbs",All Wheel Drive,Automatic,267,4700,193.6,77.2,67.6,18,26,6, Gas,3.5,White,Tan,568.1
44,2017 Kia Sorento LX,19998,61 ,6,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,38.8 cu ft,3840,"2,000/2,000 lbs",All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,Gray,Gray,445.0
45,2012 Acura MDX,16998,104 ,11,Multiple Damage Events,0,1,21.0,108.3,41.2,39.2,15.0 cu ft,4550,Null,All Wheel Drive,Automatic,270,4500,191.6,78.5,68.2,16,21,6, Gas,3.7,Black,Tan,600.0
46,2016 Volvo XC60 T5 Premier,16998,113 ,7,No Accidents or Damage Reported,0,0,18.5,109.2,41.2,38.0,30.8 cu ft,4041,"3,500/3,500 lbs",Front Wheel Drive,Automatic,258,1500,182.8,74.4,67.4,23,31,4, Turbo Gas,2.0,White,Black,1720.0
47,2019 Mazda CX-5 Signature,25998,54 ,4,No Accidents or Damage Reported,0,0,15.3,106.2,41.0,39.3,30.9 cu ft,3825,"2,000/2,000 lbs",All Wheel Drive,Automatic,310,2000,179.1,72.5,65.3,22,27,4, Turbo Gas,2.5,Silver,Brown,1550.0
48,2017 Nissan Rogue Sport SL,21998,50 ,6,No Accidents or Damage Reported,0,0,14.5,104.2,42.8,39.6,22.9 cu ft,3415,Null,All Wheel Drive,Automatic,147,4400,172.4,72.3,63.3,24,30,4, Gas,2.0,Black,Black,334.1
49,2020 Volvo XC90 T6 Momentum,36998,29 ,3,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6 cu ft,4394,"5,000/5,000 lbs",All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,20,27,4, Turbo Supercharged,2.0,Blue,Black,1340.9
50,2018 Honda CR-V EX,25998,56 ,5,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,38.0,39.2 cu ft,3358,Null,Front Wheel Drive,Automatic,179,2000,180.6,73.0,66.1,28,34,4, Turbo Gas,1.5,Black,Tan,895.0
51,2021 Toyota Highlander Platinum,43998,38 ,2,No Accidents or Damage Reported,0,0,17.9,112.2,40.4,38.4,16 cu ft,4450,"5,000/5,000 lbs",All Wheel Drive,Automatic,263,4700,194.9,76.0,68.1,20,27,6, Gas,3.5,Red,Brown,559.6
52,2018 Ford Escape SE,19998,54 ,5,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3 cu ft,3668,"2,000/2,000 lbs",Four Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,22,28,4, Turbo Gas,1.5,Gold,Tan,708.0
53,2019 Ford Escape Titanium,17998,111 ,4,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34 cu ft,3755,"2,000/2,000 lbs",Four Wheel Drive,Automatic,275,3000,178.1,72.4,66.3,21,27,4, Turbo Gas,2.0,Silver,Black,916.7
54,2018 Volkswagen Atlas SE,28998,50 ,5,No Accidents or Damage Reported,0,1,18.6,117.3,41.5,41.3,20.6 cu ft,4502,Null,All Wheel Drive,Automatic,266,2750,198.3,78.3,70.0,17,23,6, Gas,3.6,White,Black,967.3
55,2016 Jeep Patriot High Altitude,16998,74 ,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23 cu ft,3210,"1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,Gray,Black,282.0
56,2020 Audi Q5 Titanium Premium,28998,72 ,3,No Accidents or Damage Reported,0,0,18.5,111.0,41.0,40.2,25.1 cu ft,4034,"4,400/4,400 lbs",All Wheel Drive,Automatic,273,1600,183.6,74.5,65.3,22,28,4, Turbo Gas,2.0,Gray,Black,1706.2
57,2019 Toyota Highlander LE,25998,71 ,4,No Accidents or Damage Reported,0,0,19.2,109.8,44.2,40.7,13.8 cu ft,4244,"5,000/5,000 lbs",Front Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,20,27,6, Gas,3.5,White,Gray,559.6
58,2018 Toyota Highlander Hybrid XLE,35998,54 ,5,No Accidents or Damage Reported,0,1,17.2,109.8,44.2,39.5,13.8 cu ft,4464,"3,500/3,500 lbs",All Wheel Drive,Automatic,215,4800,192.5,75.8,68.1,29,27,6, Hybrid,3.5,Gray,Black,447.9
59,2019 Chevrolet Trax LS,18998,45 ,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.8,39.6,0,3124,Null,Front Wheel Drive,Automatic,148,1850,167.2,69.9,64.9,26,31,4, Turbo Gas,1.4,Black,Black,800.0
60,2014 GMC Acadia SLT,19998,84 ,9,No Accidents or Damage Reported,0,0,22.0,118.9,41.3,40.3,24.1 cu ft,4850,Null,All Wheel Drive,Automatic,270,3400,200.8,78.9,70.4,16,23,6, Gas,3.6,Gray,Black,794.1
61,2015 Mercedes-Benz ML350,21998,74 ,8,No Accidents or Damage Reported,0,0,24.6,114.8,40.3,40.4,38.2 cu ft,4751,"7,200/7,200 lbs",All Wheel Drive,Automatic,273,3500,189.1,75.8,70.7,17,22,6, Gas,3.5,Gray,Black,780.0
62,2019 Hyundai Tucson SEL,17998,97 ,4,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31 cu ft,3426,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,4000,176.4,72.8,64.8,22,28,4, Gas,2.4,White,Gray,437.5
63,2019 Buick Encore Preferred,19998,45 ,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.82,39.58,0,3237,Null,Front Wheel Drive,Automatic,148,1850,168.35,70.1,65.25,25,30,4, Turbo Gas,1.4,Black,Black,800.0
64,2019 Toyota Highlander Hybrid Limited Platinum,39998,47 ,4,No Accidents or Damage Reported,0,0,17.2,109.8,44.2,39.8,13.6 cu ft,4861,"3,500/3,500 lbs",All Wheel Drive,Automatic,215,4800,192.5,75.8,68.1,29,27,6, Hybrid,3.5,Silver,Black,447.9
65,2019 Acura RDX,28998,60 ,4,No Accidents or Damage Reported,0,0,17.1,108.3,41.6,39.6,29.5 cu ft,4026,Null,All Wheel Drive,Automatic,280,1600,186.8,74.8,65.7,21,27,4, Turbo Gas,2.0,Gray,Black,1750.0
66,2019 Hyundai Santa Fe Limited,24998,42 ,4,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,35.9 cu ft,4063,Null,All Wheel Drive,Automatic,260,1450,187.8,74.4,67.1,19,24,4, Turbo Gas,2.0,Gray,Tan,1793.1
67,2018 Toyota Highlander XLE,24998,105 ,5,No Accidents or Damage Reported,0,3,19.2,109.8,44.2,39.5,13.8 cu ft,4430,"5,000/5,000 lbs",Front Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,21,27,6, Gas,3.5,White,Black,559.6
68,2019 Kia Niro EX,24998,55 ,4,No Accidents or Damage Reported,0,1,11.9,106.3,41.7,40.1,19.4 cu ft,3199,Null,Front Wheel Drive,Automatic,195,2400,171.5,71.1,60.4,51,46,4, Hybrid,1.6,Blue,Gray,812.5
69,2019 Subaru Forester 2.5I Touring,27998,55 ,4,No Accidents or Damage Reported,0,7,16.6,105.1,43.3,40.2,28.9 cu ft,3588,"1,500/1,500 lbs",All Wheel Drive,Automatic,176,4400,182.1,71.5,68.1,26,33,4, Gas,2.5,Red,Black,400.0
70,2019 Jeep Compass Trailhawk,23998,52 ,4,No Accidents or Damage Reported,0,4,13.5,103.8,41.8,39.2,27.2 cu ft,3633,"1,000/1,000 lbs",Four Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,30,4, Gas,2.4,White,Black,448.7
71,2017 Toyota Highlander Limited,24998,114 ,6,No Accidents or Damage Reported,0,0,19.2,109.8,44.2,39.5,13.8 cu ft,4655,"5,000/5,000 lbs",All Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,20,26,6, Gas,3.5,White,Black,559.6
72,2016 Hyundai Tucson Sport,18998,60 ,7,No Accidents or Damage Reported,0,3,16.4,105.1,41.5,39.6,31 cu ft,3499,"1,000/1,000 lbs",All Wheel Drive,Automatic,195,1500,176.2,72.8,64.8,24,28,4, Turbo Gas,1.6,Gray,Black,1300.0
73,2016 Honda Pilot EX-L,24998,80 ,7,No Accidents or Damage Reported,0,1,19.5,111.0,40.9,39.5,16.5 cu ft,4288,Null,All Wheel Drive,Automatic,262,4700,194.5,78.6,69.8,18,26,6, Gas,3.5,Blue,Gray,557.4
74,2015 Nissan Rogue SV,20998,27 ,8,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3 cu ft,3545,"1,000/1,000 lbs",All Wheel Drive,Automatic,175,4400,182.3,72.4,66.3,25,32,4, Gas,2.5,Blue,Black,397.7
75,2018 Kia Sportage LX,19998,49 ,5,No Accidents or Damage Reported,0,2,16.4,105.1,41.5,39.3,30.7 cu ft,3448,"1,650/1,650 lbs",All Wheel Drive,Automatic,175,4000,176.4,73.0,64.8,21,25,4, Gas,2.4,Red,Black,437.5
76,2020 Nissan Rogue SV,23998,55 ,3,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3 cu ft,3615,"1,102/1,102 lbs",All Wheel Drive,Automatic,175,4400,184.5,72.4,68.5,25,32,4, Gas,2.5,Gray,Black,397.7
77,2020 Honda CR-V EX-L,31998,29 ,3,No Accidents or Damage Reported,0,2,14.0,104.7,41.3,38.0,39.2 cu ft,3536,"1,500/1,500 lbs",All Wheel Drive,Automatic,179,2000,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,White,Tan,895.0
79,2020 Kia Sorento LX,22998,45 ,3,No Accidents or Damage Reported,0,0,18.8,109.4,44.1,39.5,11.3 cu ft,3953,"2,000/2,000 lbs",All Wheel Drive,Automatic,178,4000,189.0,74.4,66.3,21,26,4, Gas,2.4,Blue,Black,445.0
80,2020 Honda CR-V LX,26998,42 ,3,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,40.1,39.2 cu ft,3455,"1,500/1,500 lbs",All Wheel Drive,Automatic,179,2000,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,Red,Gray,895.0
81,2017 Volvo XC90 T6 Momentum,23998,100 ,6,No Accidents or Damage Reported,0,1,18.8,117.5,40.9,38.9,12.6 cu ft,4394,"5,000/5,000 lbs",All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,20,25,4, Turbo Supercharged,2.0,Silver,Black,1340.9
82,2018 Buick Encore Preferred,19998,45 ,5,No Accidents or Damage Reported,0,0,14.0,100.6,40.82,39.58,0,3237,Null,Front Wheel Drive,Automatic,148,1850,168.41,69.85,65.26,25,33,4, Turbo Gas,1.4,Blue,Black,800.0
83,2014 Ford Escape SE,13998,128 ,9,No Accidents or Damage Reported,0,1,15.1,105.9,43.1,39.9,34.3 cu ft,3502,"2,000/2,000 lbs",Front Wheel Drive,Automatic,184,2500,178.1,72.4,66.3,23,32,4, Turbo Gas,1.6,Red,Gray,736.0
84,2019 Chevrolet Trax LT,16998,73 ,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.8,39.6,0,3146,Null,Front Wheel Drive,Automatic,148,1850,167.2,69.9,66.0,26,31,4, Turbo Gas,1.4,Gray,Black,800.0
86,2018 Kia Niro LX,19998,63 ,5,No Accidents or Damage Reported,0,0,11.9,106.3,41.7,40.1,19.4 cu ft,3199,Null,Front Wheel Drive,Automatic,195,2400,171.5,71.1,60.4,51,46,4, Hybrid,1.6,White,Black,812.5
87,2018 Jeep Compass Latitude,21998,50 ,5,No Accidents or Damage Reported,0,0,13.5,103.8,41.8,39.2,27.2 cu ft,3327,"1,000/1,000 lbs",Four Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Black,Black,448.7
88,2016 Toyota Highlander LE,23998,94 ,7,No Accidents or Damage Reported,0,2,19.2,109.8,44.2,40.7,13.8 cu ft,4398,"5,000/5,000 lbs",All Wheel Drive,Automatic,248,4700,191.1,75.8,68.1,18,24,6, Gas,3.5,White,Gray,527.7
89,2018 Jeep Renegade Latitude,14599,101 ,5,No Accidents or Damage Reported,0,0,12.7,101.2,41.2,41.1,18.5 cu ft,3056,Null,Front Wheel Drive,Manual 6 Speed,184,2500,166.6,74.2,66.5,24,31,4, Turbo Gas,1.4,Black,Black,736.0
90,2016 Jeep Patriot Sport SE,14599,105 ,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23 cu ft,3210,"1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,Black,Black,282.0
91,2019 BMW X3 XDrive30i,30998,33 ,4,No Accidents or Damage Reported,0,0,17.2,112.8,40.3,41.1,28.7 cu ft,4156,Null,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,Black,Black,1779.3
92,2012 Buick Enclave Leather,17998,67 ,11,No Accidents or Damage Reported,0,0,22.0,118.9,41.3,40.4,23.3 cu ft,4780,Null,Front Wheel Drive,Automatic,270,3400,201.8,79.0,72.5,17,24,6, Gas,3.6,Brown,Tan,794.1
93,2013 Ford Escape SE,14998,87 ,10,No Accidents or Damage Reported,0,3,15.1,105.9,40.4,39.9,0,3515,Null,Front Wheel Drive,Automatic,184,2500,178.1,72.4,66.3,23,33,4, Turbo Gas,1.6,Gray,Tan,736.0
94,2017 Jeep Patriot Sport,15998,56 ,6,No Accidents or Damage Reported,0,3,13.6,103.7,40.6,41.0,23 cu ft,3136,"1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,23,30,4, Gas,2.0,Black,Gray,282.0
95,2020 Jeep Renegade Latitude,18998,91 ,3,No Accidents or Damage Reported,0,0,12.7,101.2,41.2,41.1,18.5 cu ft,3056,Null,Front Wheel Drive,Automatic,175,3900,166.6,74.2,66.5,22,30,4, Gas,2.4,Blue,Black,448.7
96,2018 Ford Escape SEL,16998,92 ,5,No Accidents or Damage Reported,0,3,15.7,105.9,43.1,39.9,34.3 cu ft,3668,"2,000/2,000 lbs",Four Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,22,28,4, Turbo Gas,1.5,Red,Black,708.0
97,2018 Mazda CX-5 Touring,22998,57 ,5,No Accidents or Damage Reported,0,0,14.8,106.3,41.0,39.7,30.9 cu ft,3527,"2,000/2,000 lbs",Front Wheel Drive,Automatic,186,4000,179.1,72.5,65.3,25,31,4, Gas,2.5,Blue,Black,465.0
98,2017 Nissan Rogue SV,20998,54 ,6,No Accidents or Damage Reported,0,2,14.5,106.5,43.0,41.6,39.3 cu ft,3571,"1,000/1,000 lbs",All Wheel Drive,Automatic,175,4400,184.5,72.4,68.4,25,32,4, Gas,2.5,Black,Black,397.7
99,2016 Jeep Compass High Altitude,16998,82 ,7,No Accidents or Damage Reported,0,6,13.6,103.7,40.6,39.9,22.7 cu ft,3171,"1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,175.1,71.4,65.0,22,26,4, Gas,2.0,Gray,Black,282.0
100,2013 Honda Pilot Touring,19998,99 ,10,No Accidents or Damage Reported,0,0,21.0,109.2,41.4,39.3,18.0 cu ft,4414,Null,Front Wheel Drive,Automatic,253,4800,191.4,78.5,72.7,18,25,6, Gas,3.5,Black,Gray,527.1
101,2019 Kia Sorento LX,21998,52 ,4,No Accidents or Damage Reported,0,0,18.8,109.4,44.1,39.5,11.3 cu ft,3810,"2,000/2,000 lbs",Front Wheel Drive,Automatic,178,4000,189.0,74.4,66.3,22,29,4, Gas,2.4,White,Black,445.0
102,2014 Kia Sorento LX,17998,55 ,9,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.2,36.9 cu ft,3766,"1,650/1,650 lbs",All Wheel Drive,Automatic,181,4250,184.4,74.2,66.9,19,24,4, Gas,2.4,Blue,Black,425.9
103,2018 Kia Sportage LX,16998,84 ,5,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.3,30.7 cu ft,3305,"1,650/1,650 lbs",Front Wheel Drive,Automatic,175,4000,176.4,73.0,64.4,23,30,4, Gas,2.4,White,Black,437.5
104,2019 Jeep Compass Limited,23998,23 ,4,No Accidents or Damage Reported,0,0,13.5,103.8,41.8,39.2,27.2 cu ft,3327,"1,000/1,000 lbs",Four Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,30,4, Gas,2.4,Gray,Black,448.7
105,2015 Mazda CX-9 Grand Touring,18998,92 ,8,No Accidents or Damage Reported,0,1,20.1,113.2,40.9,39.6,17.2 cu ft,4559,"3,500/3,500 lbs",All Wheel Drive,Automatic,270,4250,200.2,76.2,68.0,16,22,6, Gas,3.7,White,Tan,635.3
106,2019 Honda CR-V EX,25998,53 ,4,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,38.0,39.2 cu ft,3358,Null,Front Wheel Drive,Automatic,179,2000,180.6,73.0,66.1,28,34,4, Turbo Gas,1.5,Black,Black,895.0
107,2020 Volvo XC40 T4 Momentum,26998,50 ,3,No Accidents or Damage Reported,0,0,14.2,106.4,40.9,39.0,16 cu ft,3574,"3,500/3,500 lbs",Front Wheel Drive,Automatic,221,1400,174.2,73.3,65.3,23,33,4, Turbo Gas,2.0,Gray,Black,1578.6
108,2019 Kia Sportage LX,18998,60 ,4,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.3,30.7 cu ft,3305,"1,650/1,650 lbs",Front Wheel Drive,Automatic,175,4000,176.4,73.0,64.4,23,30,4, Gas,2.4,Gray,Gray,437.5
109,2017 Ford Edge Titanium,19998,94 ,6,No Accidents or Damage Reported,0,0,18.0,112.2,42.6,40.2,39.2 cu ft,4095,"1,500/1,500 lbs",All Wheel Drive,Automatic,275,3000,188.1,75.9,68.6,20,27,4, Turbo Gas,2.0,Red,Tan,916.7
110,2018 Ford Escape S,17998,58 ,5,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3 cu ft,3542,"1,500/1,500 lbs",Front Wheel Drive,Automatic,170,4500,178.1,72.4,66.3,21,29,4, Gas,2.5,Gray,Gray,377.8
111,2013 Honda CR-V EX-L,20998,44 ,10,No Accidents or Damage Reported,0,4,15.3,103.1,41.3,38.0,0,3408,Null,Front Wheel Drive,Automatic,163,4400,178.3,71.6,65.1,23,31,4, Gas,2.4,Silver,Gray,370.5
112,2013 Ford Escape SEL,14998,92 ,10,No Accidents or Damage Reported,0,39,15.1,105.9,40.4,39.9,0,3515,Null,Front Wheel Drive,Automatic,184,2500,178.1,72.4,66.3,23,33,4, Turbo Gas,1.6,Burgundy,Tan,736.0
113,2020 Hyundai Tucson Sport,22998,42 ,3,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31 cu ft,3470,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,4000,176.4,72.8,64.8,22,28,4, Gas,2.4,Gray,Black,437.5
114,2020 Kia Sportage SX,24998,65 ,3,No Accidents or Damage Reported,0,1,16.4,105.1,41.5,37.6,30.7 cu ft,3765,"1,653/1,653 lbs",All Wheel Drive,Automatic,260,1450,176.4,73.0,65.2,19,24,4, Turbo Gas,2.0,White,Black,1793.1
115,2012 Ford Edge SEL,14998,98 ,11,No Accidents or Damage Reported,0,0,18.0,111.2,40.7,40.0,0,4056,Null,Front Wheel Drive,Automatic,270,3000,184.2,76.0,67.0,21,30,4, Turbo Gas,2.0,Brown,Tan,900.0
